epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5847,1.96453,5.48636,1.39136,0.01284,0.68182,0.49269,0.17439,1.90897,5.14455,1.19618,0.0001625,0.0001625,0.0001625
2,145.479,1.66354,3.50806,1.1886,0.01697,1,0.73573,0.31326,1.5681,4.69784,1.03554,0.000334716,0.000334716,0.000334716
3,217.615,1.44998,2.80888,1.12607,0.01217,0.65734,0.43514,0.13458,1.33865,4.74879,1.14526,0.000504044,0.000504044,0.000504044
4,288.5,1.49779,2.41868,1.13345,0.01078,0.58042,0.07903,0.02578,1.52695,4.4463,1.19693,0.000670484,0.000670484,0.000670484
5,359.058,1.43922,2.30475,1.14158,0.0149,1,0.63313,0.28021,1.53487,4.07986,1.23548,0.000834037,0.000834037,0.000834037
6,429.61,1.44935,2.08595,1.15087,0.90879,0.89117,0.96298,0.45607,1.5545,3.46287,1.29383,0.000994703,0.000994703,0.000994703
7,500.99,1.44944,1.93373,1.1373,0.91248,0.78909,0.9579,0.50087,1.56329,3.05586,1.34463,0.00115248,0.00115248,0.00115248
8,570.232,1.41914,1.8661,1.15597,0.8708,0.94406,0.90668,0.45693,1.70941,2.3041,1.44348,0.00117781,0.00117781,0.00117781
9,637.842,1.38489,1.69981,1.12258,0.74959,0.86364,0.77221,0.36782,2.16369,1.9777,1.88127,0.0011675,0.0011675,0.0011675
10,705.643,1.40133,1.62796,1.12852,0.90904,0.93329,0.90409,0.419,1.79877,1.74994,1.54537,0.00115719,0.00115719,0.00115719
11,773.206,1.37207,1.53533,1.12044,0.80053,0.87063,0.81726,0.40386,1.97613,1.6763,1.70243,0.00114688,0.00114688,0.00114688
12,841.856,1.41625,1.51399,1.13812,0.78403,0.90909,0.84117,0.31357,2.25667,1.60277,2.01564,0.00113656,0.00113656,0.00113656
13,911.012,1.39267,1.39205,1.14173,0.89828,1,0.97383,0.50976,1.56315,1.36992,1.38337,0.00112625,0.00112625,0.00112625
14,978.965,1.4227,1.34423,1.12453,0.82354,0.95455,0.8891,0.41714,1.89113,1.44166,1.61825,0.00111594,0.00111594,0.00111594
15,1048.46,1.36305,1.29335,1.10667,0.85439,0.95455,0.90718,0.42746,1.86798,1.4491,1.67252,0.00110563,0.00110563,0.00110563
16,1116.99,1.34844,1.30724,1.12752,0.91659,0.99373,0.98149,0.45557,1.80944,1.36427,1.56079,0.00109531,0.00109531,0.00109531
17,1184,1.2942,1.20643,1.09044,0.83166,0.95455,0.90625,0.38705,1.9782,1.37546,1.74093,0.001085,0.001085,0.001085
18,1250.87,1.33085,1.11911,1.09283,0.93602,0.92276,0.91905,0.36974,1.9744,1.36822,1.71493,0.00107469,0.00107469,0.00107469
19,1318.95,1.30486,1.08896,1.1201,0.91172,0.87063,0.90659,0.47416,1.83337,1.21413,1.65876,0.00106437,0.00106437,0.00106437
20,1388.17,1.30513,1.06731,1.07487,0.82555,0.95455,0.90397,0.39874,1.97855,1.24989,1.72621,0.00105406,0.00105406,0.00105406
21,1456.91,1.33182,1.03937,1.12694,0.82948,0.95455,0.92213,0.3779,2.0746,1.26105,1.80898,0.00104375,0.00104375,0.00104375
22,1529.8,1.3158,1.02812,1.12378,0.93152,0.95455,0.91473,0.4274,1.9287,1.1748,1.7014,0.00103344,0.00103344,0.00103344
23,1597.83,1.3084,0.98596,1.10119,0.84612,0.95455,0.91294,0.47996,1.80814,1.29089,1.62344,0.00102312,0.00102312,0.00102312
24,1665.97,1.25641,0.95318,1.0797,0.85486,0.95455,0.89945,0.3838,2.0705,1.31316,1.88489,0.00101281,0.00101281,0.00101281
25,1734.76,1.26002,0.89379,1.07362,0.84098,0.95455,0.89863,0.41619,2.04187,1.09048,1.83669,0.0010025,0.0010025,0.0010025
26,1802.97,1.23986,0.88235,1.06594,0.84841,0.95455,0.88819,0.36068,2.10281,1.21185,1.87215,0.000992188,0.000992188,0.000992188
27,1870.21,1.26532,0.89225,1.08522,0.90067,0.95455,0.91776,0.39188,2.04293,1.16943,1.805,0.000981875,0.000981875,0.000981875
28,1938.49,1.23966,0.85858,1.07736,0.84822,0.95455,0.91381,0.40027,2.01286,1.08291,1.80319,0.000971562,0.000971562,0.000971562
29,2007.11,1.2151,0.80092,1.05423,0.83111,0.95455,0.90846,0.40294,2.01478,1.17786,1.84635,0.00096125,0.00096125,0.00096125
30,2074.51,1.21841,0.82129,1.06258,0.87663,1,0.9925,0.49385,1.70023,1.04116,1.50888,0.000950937,0.000950937,0.000950937
31,2142.07,1.22744,0.80301,1.0519,0.78529,0.90909,0.81427,0.33669,2.05731,1.07151,1.80935,0.000940625,0.000940625,0.000940625
32,2210.11,1.27618,0.8288,1.08969,0.87055,1,0.94413,0.40876,1.84648,1.12688,1.62306,0.000930313,0.000930313,0.000930313
33,2278.09,1.18593,0.7721,1.04651,0.82459,0.95455,0.90713,0.41669,1.98085,1.05298,1.77729,0.00092,0.00092,0.00092
34,2345.63,1.19566,0.73394,1.05453,0.83022,0.95455,0.87633,0.45155,1.88333,1.02585,1.64777,0.000909688,0.000909688,0.000909688
35,2413.52,1.21208,0.74378,1.07119,0.87537,1,0.97533,0.43718,1.85504,0.93943,1.61311,0.000899375,0.000899375,0.000899375
36,2481.49,1.20529,0.76506,1.078,0.87748,1,0.97607,0.43127,1.7961,0.92375,1.59546,0.000889062,0.000889062,0.000889062
37,2549.59,1.20671,0.76801,1.05591,0.94866,1,0.97857,0.38843,2.04691,0.95094,1.78856,0.00087875,0.00087875,0.00087875
38,2617.55,1.21343,0.74767,1.07488,0.88867,0.95455,0.91247,0.41676,1.91268,0.93845,1.70279,0.000868437,0.000868437,0.000868437
39,2685.35,1.16776,0.71818,1.04547,0.87792,0.93862,0.90219,0.46896,1.7925,0.8711,1.59177,0.000858125,0.000858125,0.000858125
40,2753.16,1.17057,0.68522,1.06106,0.81972,0.95455,0.91646,0.44917,1.89396,0.88469,1.67559,0.000847813,0.000847813,0.000847813
41,2820.98,1.1357,0.67869,1.02291,0.83182,0.95455,0.87355,0.43278,1.82904,0.91103,1.67419,0.0008375,0.0008375,0.0008375
42,2889.31,1.15561,0.69243,1.04116,0.87801,1,0.93324,0.42553,1.88879,0.87363,1.66152,0.000827187,0.000827187,0.000827187
43,2957.27,1.14891,0.65498,1.02901,0.87496,1,0.96981,0.4484,1.87683,0.87781,1.68134,0.000816875,0.000816875,0.000816875
44,3025.33,1.14835,0.68305,1.04531,0.91423,1,0.98429,0.452,1.91208,0.87113,1.72331,0.000806562,0.000806562,0.000806562
45,3093.16,1.14985,0.67971,1.04139,0.82838,0.95455,0.9034,0.41487,1.90438,0.94083,1.71969,0.00079625,0.00079625,0.00079625
46,3161.65,1.14082,0.67018,1.02992,0.83378,0.95455,0.89404,0.44379,1.84308,0.88821,1.64965,0.000785938,0.000785938,0.000785938
47,3230.85,1.12625,0.64079,1.02291,0.84812,0.95455,0.92366,0.47473,1.83788,0.83452,1.63781,0.000775625,0.000775625,0.000775625
48,3299.87,1.12584,0.65909,1.04509,0.78521,0.90909,0.87075,0.41663,1.95917,0.98946,1.79386,0.000765313,0.000765313,0.000765313
49,3367.98,1.09275,0.62486,1.02809,0.78324,0.90909,0.84759,0.40803,1.98912,0.91267,1.85967,0.000755,0.000755,0.000755
50,3436.79,1.11832,0.63615,1.0286,0.83061,0.95455,0.9289,0.4425,1.92711,0.89647,1.78384,0.000744688,0.000744688,0.000744688
51,3505.05,1.11913,0.6292,1.0338,0.87536,1,0.9596,0.43599,2.05965,0.9559,1.86657,0.000734375,0.000734375,0.000734375
52,3573.37,1.14093,0.63765,1.04223,0.8903,1,0.95138,0.46711,1.79061,0.80769,1.62815,0.000724062,0.000724062,0.000724062
53,3641.4,1.15238,0.6333,1.05488,0.83253,0.95455,0.87439,0.37752,2.02018,0.92592,1.85416,0.00071375,0.00071375,0.00071375
54,3709.56,1.07805,0.63488,1.02259,0.88168,0.99527,0.96072,0.45619,1.87466,0.83909,1.71761,0.000703437,0.000703437,0.000703437
